record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.HPBITABLO2.1,A. TOPLAM MEVDUAT (Bin TL),TP.HPBITABLO2.1,evds2,weekly,Bin TL,Resmi seri adi: A. TOPLAM MEVDUAT (Bin TL) | Durum: derived_input,Notebook rolu: stock_total,,theme:dth,derived:dth-share-in-total-deposits|derived:resident-deposit-share-in-total-deposits,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.2,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL),TP.HPBITABLO2.2,evds2,weekly,Bin TL,Resmi seri adi: 1. Yurt İçi Yerleşikler (Bin TL) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,derived:dth-share-in-resident-deposits|derived:resident-deposit-share-in-total-deposits,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.3,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / a. TL (Bin TL),TP.HPBITABLO2.3,evds2,weekly,Bin TL,Resmi seri adi: a. TL (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.4,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / I. Gerçek Kişiler (Bin TL),TP.HPBITABLO2.4,evds2,weekly,Bin TL,Resmi seri adi: I. Gerçek Kişiler (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.5,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / II. Tüzel Kişiler (Bin TL),TP.HPBITABLO2.5,evds2,weekly,Bin TL,Resmi seri adi: II. Tüzel Kişiler (Bin TL) | Durum: derived_input,Notebook rolu: stock_component,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.6,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / b. YP (Bin TL),TP.HPBITABLO2.6,evds2,weekly,Bin TL,Resmi seri adi: b. YP (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.7,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / I. Gerçek Kişiler (Bin TL),TP.HPBITABLO2.7,evds2,weekly,Bin TL,Resmi seri adi: I. Gerçek Kişiler (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.8,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / II. Tüzel Kişiler (Bin TL),TP.HPBITABLO2.8,evds2,weekly,Bin TL,Resmi seri adi: II. Tüzel Kişiler (Bin TL) | Durum: derived_input,Notebook rolu: stock_component,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.10,Bilgi İçin: Toplam YP Mevduat (Milyon ABD Doları),TP.HPBITABLO2.10,evds2,weekly,Milyon ABD Doları,Resmi seri adi: Bilgi İçin: Toplam YP Mevduat (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: stock_total,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.11,Bilgi İçin: Gerçek Kişi YP Mevduatı (Milyon ABD Doları),TP.HPBITABLO2.11,evds2,weekly,Milyon ABD Doları,Resmi seri adi: Bilgi İçin: Gerçek Kişi YP Mevduatı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: stock_component,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.12,Bilgi İçin: Tüzel Kişi YP Mevduatı (Milyon ABD Doları),TP.HPBITABLO2.12,evds2,weekly,Milyon ABD Doları,Resmi seri adi: Bilgi İçin: Tüzel Kişi YP Mevduatı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: stock_component,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.13,A. TOPLAM MEVDUAT (Bin TL) / 2. Yurt İçi Yerleşik Bankalar (Bin TL),TP.HPBITABLO2.13,evds2,weekly,Bin TL,Resmi seri adi: 2. Yurt İçi Yerleşik Bankalar (Bin TL) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.14,A. TOPLAM MEVDUAT (Bin TL) / 2. Yurt İçi Yerleşik Bankalar (Bin TL) / a. TL (Bin TL),TP.HPBITABLO2.14,evds2,weekly,Bin TL,Resmi seri adi: a. TL (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.15,A. TOPLAM MEVDUAT (Bin TL) / 2. Yurt İçi Yerleşik Bankalar (Bin TL) / b. YP (Bin TL),TP.HPBITABLO2.15,evds2,weekly,Bin TL,Resmi seri adi: b. YP (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.16,A. TOPLAM MEVDUAT (Bin TL) / 3. Yurt Dışı Yerleşikler (Bin TL),TP.HPBITABLO2.16,evds2,weekly,Bin TL,Resmi seri adi: 3. Yurt Dışı Yerleşikler (Bin TL) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.17,A. TOPLAM MEVDUAT (Bin TL) / 3. Yurt Dışı Yerleşikler (Bin TL) / a. TL (Bin TL),TP.HPBITABLO2.17,evds2,weekly,Bin TL,Resmi seri adi: a. TL (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.18,A. TOPLAM MEVDUAT (Bin TL) / 3. Yurt Dışı Yerleşikler (Bin TL) / b. YP (Bin TL),TP.HPBITABLO2.18,evds2,weekly,Bin TL,Resmi seri adi: b. YP (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.19,A. TOPLAM MEVDUAT (Bin TL) / 4. Yurt Dışı Yerleşik Bankalar (Bin TL),TP.HPBITABLO2.19,evds2,weekly,Bin TL,Resmi seri adi: 4. Yurt Dışı Yerleşik Bankalar (Bin TL) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.20,A. TOPLAM MEVDUAT (Bin TL) / 4. Yurt Dışı Yerleşik Bankalar (Bin TL) / a. TL (Bin TL),TP.HPBITABLO2.20,evds2,weekly,Bin TL,Resmi seri adi: a. TL (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.21,A. TOPLAM MEVDUAT (Bin TL) / 4. Yurt Dışı Yerleşik Bankalar (Bin TL) / b. YP (Bin TL),TP.HPBITABLO2.21,evds2,weekly,Bin TL,Resmi seri adi: b. YP (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.22,B. TOPLAM KREDİ (Bin TL),TP.HPBITABLO2.22,evds2,weekly,Bin TL,Resmi seri adi: B. TOPLAM KREDİ (Bin TL) | Durum: derived_input,Notebook rolu: stock_total,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.23,B. TOPLAM KREDİ (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL),TP.HPBITABLO2.23,evds2,weekly,Bin TL,Resmi seri adi: 1. Yurt İçi Yerleşikler (Bin TL) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.24,B. TOPLAM KREDİ (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / a. TL (Bin TL),TP.HPBITABLO2.24,evds2,weekly,Bin TL,Resmi seri adi: a. TL (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.28,B. TOPLAM KREDİ (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / b. YP (Bin TL),TP.HPBITABLO2.28,evds2,weekly,Bin TL,Resmi seri adi: b. YP (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.32,B. TOPLAM KREDİ (Bin TL) / 2. Yurt İçi Yerleşik Finansal Kuruluşlar (Bin TL),TP.HPBITABLO2.32,evds2,weekly,Bin TL,Resmi seri adi: 2. Yurt İçi Yerleşik Finansal Kuruluşlar (Bin TL) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.33,B. TOPLAM KREDİ (Bin TL) / 2. Yurt İçi Yerleşik Finansal Kuruluşlar (Bin TL) / a. TL (Bin TL),TP.HPBITABLO2.33,evds2,weekly,Bin TL,Resmi seri adi: a. TL (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.34,B. TOPLAM KREDİ (Bin TL) / 2. Yurt İçi Yerleşik Finansal Kuruluşlar (Bin TL) / b. YP (Bin TL),TP.HPBITABLO2.34,evds2,weekly,Bin TL,Resmi seri adi: b. YP (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO3.1,TOPLAM TL MEVDUAT (Bin TL),TP.HPBITABLO3.1,evds2,weekly,Bin TL,Resmi seri adi: TOPLAM TL MEVDUAT (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO3.2,A. Yurt İçi Yerleşikler (Bin TL),TP.HPBITABLO3.2,evds2,weekly,Bin TL,Resmi seri adi: A. Yurt İçi Yerleşikler (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO3.18,B. Yurt İçi Yerleşik Bankalar (Bin TL),TP.HPBITABLO3.18,evds2,weekly,Bin TL,Resmi seri adi: B. Yurt İçi Yerleşik Bankalar (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO3.21,C. Yurt Dışı Yerleşikler (Bin TL),TP.HPBITABLO3.21,evds2,weekly,Bin TL,Resmi seri adi: C. Yurt Dışı Yerleşikler (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO3.24,D. Yurt Dışı Yerleşik Bankalar (Bin TL),TP.HPBITABLO3.24,evds2,weekly,Bin TL,Resmi seri adi: D. Yurt Dışı Yerleşik Bankalar (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.1,TOPLAM YP MEVDUAT (Milyon ABD Doları),TP.HPBITABLO4.1,evds2,weekly,Milyon ABD Doları,Resmi seri adi: TOPLAM YP MEVDUAT (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: stock_total,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.2,A. Yurt İçi Yerleşikler (Milyon ABD Doları),TP.HPBITABLO4.2,evds2,weekly,Milyon ABD Doları,Resmi seri adi: A. Yurt İçi Yerleşikler (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,derived:dth-share-in-total-deposits|derived:dth-share-in-resident-deposits,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.3,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları),TP.HPBITABLO4.3,evds2,weekly,Milyon ABD Doları,Resmi seri adi: 1. Gerçek Kişiler (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.4,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / a. ABD Doları (Milyon ABD Doları),TP.HPBITABLO4.4,evds2,weekly,Milyon ABD Doları,Resmi seri adi: a. ABD Doları (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.5,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / b. Euro - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.5,evds2,weekly,Milyon ABD Doları,Resmi seri adi: b. Euro - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.6,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.6,evds2,weekly,Milyon ABD Doları,Resmi seri adi: c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.7,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.7,evds2,weekly,Milyon ABD Doları,Resmi seri adi: d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.8,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları),TP.HPBITABLO4.8,evds2,weekly,Milyon ABD Doları,Resmi seri adi: 2. Tüzel Kişiler (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.9,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / a. ABD Doları (Milyon ABD Doları),TP.HPBITABLO4.9,evds2,weekly,Milyon ABD Doları,Resmi seri adi: a. ABD Doları (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.10,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / b. Euro - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.10,evds2,weekly,Milyon ABD Doları,Resmi seri adi: b. Euro - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.11,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.11,evds2,weekly,Milyon ABD Doları,Resmi seri adi: c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.12,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.12,evds2,weekly,Milyon ABD Doları,Resmi seri adi: d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.13,B. Yurt İçi Yerleşik Bankalar (Milyon ABD Doları),TP.HPBITABLO4.13,evds2,weekly,Milyon ABD Doları,Resmi seri adi: B. Yurt İçi Yerleşik Bankalar (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.14,unresolved_from_notebook,TP.HPBITABLO4.14,evds2,weekly,,Resmi seri adi: unresolved_from_notebook | Durum: fetched_only | Not: Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi.,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.15,unresolved_from_notebook,TP.HPBITABLO4.15,evds2,weekly,,Resmi seri adi: unresolved_from_notebook | Durum: fetched_only | Not: Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi.,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.16,C. Yurt Dışı Yerleşikler (Milyon ABD Doları),TP.HPBITABLO4.16,evds2,weekly,Milyon ABD Doları,Resmi seri adi: C. Yurt Dışı Yerleşikler (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.17,C. Yurt Dışı Yerleşikler (Milyon ABD Doları) / a. ABD Doları (Milyon ABD Doları),TP.HPBITABLO4.17,evds2,weekly,Milyon ABD Doları,Resmi seri adi: a. ABD Doları (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.18,C. Yurt Dışı Yerleşikler (Milyon ABD Doları) / b. Euro - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.18,evds2,weekly,Milyon ABD Doları,Resmi seri adi: b. Euro - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.19,C. Yurt Dışı Yerleşikler (Milyon ABD Doları) / c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.19,evds2,weekly,Milyon ABD Doları,Resmi seri adi: c. Diğer - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.20,C. Yurt Dışı Yerleşikler (Milyon ABD Doları) / d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.20,evds2,weekly,Milyon ABD Doları,Resmi seri adi: d. Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.21,D. Yurt Dışı Yerleşik Bankalar (Milyon ABD Doları),TP.HPBITABLO4.21,evds2,weekly,Milyon ABD Doları,Resmi seri adi: D. Yurt Dışı Yerleşik Bankalar (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.12,Yabanci para mevduatta haftalik degisim ve parite etkisi,TP.HPBITABLO5.12,evds2,weekly,,Resmi seri adi: Yabanci para mevduatta haftalik degisim ve parite etkisi | Durum: reported_output,Notebook rolu: parity_effect_input,,theme:dth,,,,,,,,,,,,,,,
indicator,derived:dth-share-in-total-deposits,Toplam Mevduat icinde DTH Payi,,,,,,,,theme:dth,,evds:TP.HPBITABLO4.2|evds:TP.HPBITABLO2.1,evds:TP.HPBITABLO4.2 / evds:TP.HPBITABLO2.1,Yurt ici yerlesiklerin YP mevduatinin toplam mevduata orani.,weekly,ratio,Toplam mevduat tabani icindeki DTH agirligini izler.,Paydanin sifir olmadigi dogrulanmali.,,,,,,,
indicator,derived:dth-share-in-resident-deposits,Yurtici Yerlesiklerin Mevduati icinde DTH Payi,,,,,,,,theme:dth,,evds:TP.HPBITABLO4.2|evds:TP.HPBITABLO2.2,evds:TP.HPBITABLO4.2 / evds:TP.HPBITABLO2.2,Yurt ici yerlesiklerin mevduati icindeki YP payi.,weekly,ratio,Yerlesiklerin mevduat tercihini TL/YP ayriminda izler.,Paydanin sifir olmadigi dogrulanmali.,,,,,,,
indicator,derived:resident-deposit-share-in-total-deposits,Toplam Mevduat icinde Yurtici Yerlesiklerin Payi,,,,,,,,theme:dth,,evds:TP.HPBITABLO2.2|evds:TP.HPBITABLO2.1,evds:TP.HPBITABLO2.2 / evds:TP.HPBITABLO2.1,Yurt ici yerlesiklerin toplam mevduat icindeki payi.,weekly,ratio,Toplam mevduat tabaninin yerlesik kompozisyonunu izler.,Paydanin sifir olmadigi dogrulanmali.,,,,,,,
theme,theme:dth,DTH,,,,,DTH ve mevduat kompozisyonu temasi,,,,derived:dth-share-in-total-deposits|derived:dth-share-in-resident-deposits|derived:resident-deposit-share-in-total-deposits,,,,,,,,evds:TP.HPBITABLO2.1|evds:TP.HPBITABLO2.2|evds:TP.HPBITABLO2.3|evds:TP.HPBITABLO2.4|evds:TP.HPBITABLO2.5|evds:TP.HPBITABLO2.6|evds:TP.HPBITABLO2.7|evds:TP.HPBITABLO2.8|evds:TP.HPBITABLO2.10|evds:TP.HPBITABLO2.11|evds:TP.HPBITABLO2.12|evds:TP.HPBITABLO2.13|evds:TP.HPBITABLO2.14|evds:TP.HPBITABLO2.15|evds:TP.HPBITABLO2.16|evds:TP.HPBITABLO2.17|evds:TP.HPBITABLO2.18|evds:TP.HPBITABLO2.19|evds:TP.HPBITABLO2.20|evds:TP.HPBITABLO2.21|evds:TP.HPBITABLO2.22|evds:TP.HPBITABLO2.23|evds:TP.HPBITABLO2.24|evds:TP.HPBITABLO2.28|evds:TP.HPBITABLO2.32|evds:TP.HPBITABLO2.33|evds:TP.HPBITABLO2.34|evds:TP.HPBITABLO3.1|evds:TP.HPBITABLO3.2|evds:TP.HPBITABLO3.18|evds:TP.HPBITABLO3.21|evds:TP.HPBITABLO3.24|evds:TP.HPBITABLO4.1|evds:TP.HPBITABLO4.2|evds:TP.HPBITABLO4.3|evds:TP.HPBITABLO4.4|evds:TP.HPBITABLO4.5|evds:TP.HPBITABLO4.6|evds:TP.HPBITABLO4.7|evds:TP.HPBITABLO4.8|evds:TP.HPBITABLO4.9|evds:TP.HPBITABLO4.10|evds:TP.HPBITABLO4.11|evds:TP.HPBITABLO4.12|evds:TP.HPBITABLO4.13|evds:TP.HPBITABLO4.14|evds:TP.HPBITABLO4.15|evds:TP.HPBITABLO4.16|evds:TP.HPBITABLO4.17|evds:TP.HPBITABLO4.18|evds:TP.HPBITABLO4.19|evds:TP.HPBITABLO4.20|evds:TP.HPBITABLO4.21|evds:TP.HPBITABLO5.12,source:dth-old-series-excel,Toplam mevduat icinde DTH payi ne soyluyor?|Yerlesiklerin mevduat tercihi hangi yone gidiyor?,,,,
source_dependency,source:dth-old-series-excel,DTH eski seri Excel backfill,,,,,Eski DTH serilerini guncel kolonlarla birlestirmek icin kullanilan yerel Excel girdisi.,Uzun tarihli DTH serilerinin notebookta backfill edilmesini saglar.,,,,,,,,,,,,,,excel_local,required_input,,/content/drive/MyDrive/DataFiles/dth_old_series_19022025.xlsx
